
============================================================
文件: 邓棋面试录音.m4a
============================================================
[面试官] 另外還有一個工作
[面试官] 除了配裝鏈頭的話
[面试官] 就是包括主機器下載的運營
[面试官] 加上一部分的用戶運營
[面试官] 跟獎金
[面试官] 然後還有就是
[面试官] 文化還有
[面试官] 除了往事外
[面试官] 包括我們車輛貪汽的話
[面试官] 還包括
[面试官] 施工的
[面试官] 電池
[面试官] 電話系
[面试官] 電話系
[面试官] 電話系
[面试官] 還有算法
[面试官] 還有一個
[面试官] ICU
[面试官] 再加一個新生
[面试官] 這邊的話
[面试官] 總共有五塊的那個裝備
[面试官] 這邊
[面试官] 產品內部的話是
[面试官] 存能
[面试官] 跟一部分
[面试官] 新開產品
[面试官] 我看到
[面试官] 其實到五塊的已經
[面试官] 左右之間
[面试官] 然後我們
[面试官] 一檢年的一個
[面试官] 裡面有大概是
[面试官] 一百千億元的大萬里金吧
[面试官] 然後
[面试官] 再往前一家公司
[面试官] 它包括一個是
[面试官] 原業電子商務員公司
[面试官] 在那邊說的是
[面试官] 要拿去推廣的
[面试官] 然後我主要
[面试官] 工商裡面的話就是
[面试官] 那個大萬聖靈工課
[面试官] 以及那個
[面试官] DLS網站
[面试官] 以及一部分的
[面试官] 那個飄高達的營銷
[面试官] 包括
[面试官] 一些偵辦視頻
[面试官] 開壓視頻
[面试官] 以及浪費形式的
[面试官] 視頻內部塑造人員
[面试官] 還有一部分的那個
[面试官] 側面工作
[面试官] 這邊的話
[面试官] 一個客人在大萬事
[面试官] 大石大石聖靈之間
[面试官] 主要的一個工作
[面试官] 不要在那邊做
[面试官] 進鋪類的
[面试官] 然後像一些服裝
[面试官] 氣配
[面试官] 各部的那種設計
[面试官] 再往前兩大部分的
[面试官] 進鋪類的話
[面试官] 就是跟
[面试官] 有一點相關的
[面试官] 就是
[面试官] 主要是
[面试官] 以劉為主
[面试官] 然後
[面试官] 劉為主的話
[面试官] 說過
[面试官] 戶外其實沒有做過服裝
[面试官] 然後可能這樣的話
[面试官] 就是
[面试官] 一百萬千萬上市
[面试官] 這樣子
[面试官] 那你還可以繼續
[面试官] 嗯
[面试官] OK 好呀
[候选人] 我想繼續了解一下
